"Id","sex","age","VD02","VD03","VD04","VD05","VD06","VD07","VD08","VD09","VD10","VD11","VD12","VD14","VD15","VD16","VD17","VD18","VD19","VD20","VD21","VD22","VD23","VD24","VD25","VD26","VD27","VD28","VD29","VD30","VD31","VD33","VD34","VD35","VD36","VD38","VD39","VD40"
2.0,1,32.0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4.0,1,34.0,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2
10.0,1,30.0,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
11.0,1,23.0,1,2,2,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,1,2,2,1,1
15.0,1,53.0,2,1,2,2,2,1,2,1,2,2,1,1,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2
16.0,1,46.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2
17.0,1,51.0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2
19.0,1,62.0,1,1,2,1,1,2,1,1,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,1
22.0,1,34.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24.0,1,43.0,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
25.0,1,31.0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
29.0,1,44.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30.0,1,28.0,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2
